"Scenario_Requirement","GD","SD","ISI_score"
"Balanced Decision - w = 0.50",0.225,0.397,0.311
"Dominance-Oriented ISI (w = 0.75)",0.225,0.397,0.268
"Decisiveness-Oriented ISI (w = 0.25)",0.225,0.397,0.354
"Small Sample Size (n/p <= 5)",0.28,0.345,0.313
"Large Sample Size (n/p >= 50)",0.199,0.451,0.325
"Type 3 Data Topology",0.309,0.319,0.314
